title,link,description
극심한 스트레스 어떤병원 가야할까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70305&docId=472596164&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0,"인생 살면서 최고의 극심한 스트레스로 인해 불면증 설사 입맛없어서 살빠짐, 불안증 팔다리 저림 무기력 등 몸이 너무 안좋아지는것같은데 어떤병원을 가야되나요? 안녕하세요. 대한한의사협회-네이버 지식iN 상담한의사 정진형 입니다.... "
상처 통증 어떤 병원으로 가야할까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=471741186&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0,"... 이런 경우, 어떤 병원에 가서 진찰 받는게 좋을까요? 정형외과?피부과?가정의학과? 아니면 제눈에는 보이지않는 멍이 아직도 빠지지 않은걸까요? 그냥 조금만 더 기다리면 자연스럽게 없어지려나요? 상처생긴날 사진과, 메디폼뗀 후의... "
이마거상술 어떤병원으로 가나요?(서초동 이마거상술),https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70110&docId=474651400&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0,"... 이마주름이랑 같이 받아보고 싶은데 어떤병원으로 가봐야 하나요? # 병원 위치 | 병원 홈페이지 | 문의 전화 안녕하세요, 닥톡-네이버 지식iN 상담의사 정기호입니다. 이마거상술은 이마 피부를 조심스럽게 당겨 눈썹과 눈 사이의... "
어떤 병원으로 가야하는건가요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010106&docId=470247202&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0,... 이번에 건강검진 받았는데 혈액결과가 저렇게 나와서 어떤병원으로 가서 정밀진단을 받아야하는지 문의드립니다. 안녕하세요. 하이닥-네이버 지식iN 상담의 김경남 입니다. #요약 1. 백혈구 수치가 정상이면 2. 백혈구 종류의 조성은... 
"어떤 질병인지, 어떤 병원으로 가야할까요",https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=465471322&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=39&search_sort=0&spq=0,"... 이런경우 어떤질병일 수 있는지, 어떤 병원을 가야하는지 도움 부탁드립니다. 안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김학규 입니다. 일반적인 정형외과와 영상의학과에서 검사들을 시행하신 상태라서, 비교적 흔한... "
어떤 병원으로 가야되나요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=469535937&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=40&search_sort=0&spq=0,일주일전부터 갑자기 오른쪽 발등에서 발날부분이 삔것처럼 엄청 아픈데 뼈가 아픈건지 근육이 아픈건지 염증이 생긴건지 모르겠어요 ㅠㅠ 어떤 병원으로 가야되나요? 안녕하세요. 하이닥-네이버 지식iN 상담의 송슬기 입니다. 네... 
허벅지가 계속 저립니다. 어떤 병원에 가야할까요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70119&docId=477371916&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=41&search_sort=0&spq=0,... 이 상태로 이틀째 인데 저린 느낌이 사라지지 않아요 어디 병원이라도 가보고 싶은데 어느 병원에 가야하나요? 안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김옥선 입니다. 허벅지 저림 증상에 대해 질문주셨군요. 현재... 
어떤 병원을 가야하나요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=469671804&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=42&search_sort=0&spq=0,얼굴 옆부분에 공을 맞아서 코가 살짝 휜 느낌이 나고 안경 콧대위치의 코부분이 붓고 아파요 어떤병원을 가야하나요 안녕하세요. 대한의사협회·네이버 지식iN 상담의사 이세라 입니다. 엑스레이 촬영이 필요해 보입니다. 인근 정형... 
내성발톱인데 어떤 병원을 가야되나요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=710&docId=477057002&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=43&search_sort=0&spq=0,"내성발톱인데 심한 정도는 아닌것같아서 근처 병원을 가려고 하는데 피부과를 가야하나요, 아니면 정형외과를 가야하나요? 안녕하세요 내성발톱은 반드시 정형외과를 방문해 치료받으셔야 합니다."
쿠싱증후군 자가테스트 의심되면 어떤 병원으로가야하... ,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010106&docId=466864072&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=44&search_sort=0&spq=0,"... 이럴때는 어떤 병원으로 가야할까요?? (며칠 전 국가 무료건강검진을 받았는데 복부비만 판정받고, 간장질환과 당뇨병이 의심된다고는 나왔으나 그 외에는 아무 이상 없었습니다. 그리고 인터넷에 검색해보니 건강검진 받을 때 하는... "
냉대하증 어떤 병원 가야하나요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70302&docId=478613734&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=45&search_sort=0&spq=0,일단 산부인과에서 단순히 냉만 많고 질염 증상 보이는게 딱히 없다고 질염은 아닌거 같다고 하셨는데 한의원에 가야할까요? 블로그 찾아보니까 하복부냉증? 비장 기능 허약? 이런거랑 증상이 똑같아요 안녕하세요. 대한한의사협회... 
폐암요양병원 어떤식으로 알아보나요(서초동... ,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70119&docId=478645497&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=46&search_sort=0&spq=0,"서초동 60대 중반/여 폐암요양병원 폐암수술하시고 요양병원 가보는게 좋을거 같은데 병원을 어떤곳으로 고를지도 어렵네요 어떤식으로 병원을 알아보면 좋을까요 # 병원 위치 | 병원 홈페이지 | 문의 전화 안녕하세요, 닥톡-네이버 지식iN... "
폐암요양병원 어떤도움을 받나요? (역삼동 폐암요양병원),https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=472304425&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=47&search_sort=0&spq=0,"역삼동 60대 중반/여 폐암요양병원 폐암 요양병원 알아볼때 어떤도움을 받을 수 있는 곳으로 알아보나요? # 병원 위치 | 병원 홈페이지 | 문의 전화 안녕하세요, 닥톡-네이버 지식iN 상담한의사 조현주입니다. 폐암은 다른 암종에 비해 높은... "
혈액암 2차병원 어떤도움있을까요?(위례 혈액암요양병원),https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70308&docId=477352516&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=48&search_sort=0&spq=0,"위례 50대 중반/남 혈액암요양병원 혈액암요양병원가게되면 어떤도움을 받아볼 수 있을지 알고 싶어요 # 병원 위치 | 병원 홈페이지 | 문의 전화 안녕하세요, 닥톡-네이버 지식iN 상담한의사 이대연입니다. 혈액암 환자에게 투여되는... "
암재활 병원 어떤걸 보고고르나요?(사수동 암재활병원),https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70301&docId=474371025&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=49&search_sort=0&spq=0,"... 어떤걸 알아보고 병원을 고르면 좋을까요? # 병원 위치 | 병원 홈페이지 | 문의 전화 안녕하세요, 닥톡-네이버 지식iN 상담한의사 이호성입니다. 암 수술을 받고 나면 충분한 휴식과 관리를 병행하는 것이 필요합니다. 수술 후 다양한... "
스쿼트하다가 허리 다침. 어떤 병원 가야될까요,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=473017881&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=50&search_sort=0&spq=0,"스쿼트하다가 허리를 삐끗한것 같습니다 숙일때는 그나마 덜 아픈데 허리를 꼿꼿히 세우면 아픕니다 정형외과, 재활의학과, 마취통증의학과 등 어떤 병원을 가야될까요? 안녕하세요. 하이닥-네이버 지식iN 상담의 이동엽 입니다.... "
근육통 심할때 어떤병원,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=476997495&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=51&search_sort=0&spq=0,... 신경외과 통증의학과 등등 중에서 어떤과의 병원에 가야 하나요? 안녕하세요. 대한의사협회·네이버 지식iN 상담의사 윤영수 입니다. 신경외과 재활의학과 정형외과 등이 도움이 될 것으로 사료 됩니다만 정확히 특정 짓기 위해서는 좀... 
고혈압은 어떤 병원으로 가야 하나요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010103&docId=472973521&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=52&search_sort=0&spq=0,종합병원보다는 개인 병원이나 의원으로 가고싶은데 혈압은 내과인가요 아니면 신경외과인가요? 그리고 혈압을 일시적으로 낮추는 약이 있나요? 이른 아침에는 혈압이 높게 나와서 공사현장 알바하려다 못 했어요. 안녕하세요. 하이닥... 
폐암 요양병원 어떤점 보나요?(송파동 폐암요양병원),https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70119&docId=474251664&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=53&search_sort=0&spq=0,"송파동 60대 중반/남 폐암요양병원 폐암 수술후에 요양병원을 가보면 어떨까 하는데 요양병원을 알아볼때 중요하게 볼것들은 어떤게 있을까요? # 병원 위치 | 병원 홈페이지 | 문의 전화 안녕하세요, 닥톡-네이버 지식iN 상담의사... "
어떤 병원을 가야 할까요?ㅠㅠ,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=476348813&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=54&search_sort=0&spq=0,큰 책상 사이에 찧여서 많이 부어오르고 멍같이 보라색 부분이 퍼져있는 상황입니다 어떤 병원을 가야할까요? 빨리 갔다와야해서 종합병원은 못 갈것 같아요ㅠ 안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.... 
몸살인데 어떤 병원에 가야하나요?,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70117&docId=474257979&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=55&search_sort=0&spq=0,... 기운은 전혀 없고 발열도 없는데 몸에 힘이 쭉 빠지고 두통에 몸이 안 좋습니다. 이런 애매한 경우에는 어떤 병원을 방문해야하나요? 안녕하세요. 대한의사협회·네이버 지식iN 상담의사 홍인표 입니다. 가정의학과 진료 추천 드립니다
